Module,Size,C1_T-Stat,C1_P-Value,C2_T-Stat,C2_P-Value
darkorange2,58,-0.493461,0.621687,-1.098428,0.272018
cyan,47,0.259784,0.795030,1.092595,0.274572
midnightblue,47,0.267011,0.789461,0.342228,0.732179
paleturquoise,34,0.334816,0.737764,-1.026794,0.304518
magenta,53,2.685864,0.007234,-0.269971,0.787183
darkorange,40,0.323569,0.746264,-0.860952,0.389264
lightcyan,46,-0.054948,0.956180,0.964549,0.334771
darkgrey,43,0.302410,0.762340,0.073459,0.941441
grey,37,0.172364,0.863151,0.531564,0.595028
blue,87,-0.373435,0.708825,-1.035136,0.300605
coral2,22,-0.100538,0.919917,1.463947,0.143208
darkturquoise,43,0.739381,0.459676,-0.146280,0.883701
brown4,777,13.551197,0.000000,12.736676,0.000000
red,61,0.132134,0.894878,0.573792,0.566108
salmon4,26,0.580943,0.561279,-0.236957,0.812690
turquoise,104,-0.068660,0.945260,-0.788445,0.430436
ivory,29,1.593682,0.111007,0.946287,0.344002
pink,54,-1.005337,0.314735,-1.058464,0.289844
thistle1,26,0.181811,0.855731,-0.327312,0.743432
lightsteelblue1,30,0.812552,0.416475,-0.811246,0.417224
lightpink4,24,0.498601,0.618061,-0.957137,0.338498
plum2,27,-0.937061,0.348727,0.850565,0.395011
antiquewhite4,23,0.130555,0.896127,-1.076477,0.281714
lavenderblush3,24,-0.611825,0.540653,-0.177521,0.859099
darkseagreen4,23,0.083059,0.933805,-0.774109,0.438866
royalblue,45,-0.422550,0.672623,-0.145642,0.884204
coral1,23,4.193640,0.000027,2.849301,0.004382
skyblue,36,0.557023,0.577512,0.052471,0.958153
bisque4,339,0.175087,0.861011,0.081995,0.934650
brown,78,37.837558,0.000000,33.091322,0.000000
grey60,46,0.595198,0.551711,-0.466343,0.640970
skyblue1,21,0.696407,0.486174,-1.068398,0.285341
sienna3,33,2.194141,0.028225,-1.733420,0.083021
maroon,24,2.880166,0.003975,3.981977,0.000068
white,37,1.245180,0.213065,-0.570057,0.568639
steelblue,35,-0.399494,0.689530,-0.717958,0.472783
orangered4,32,1.844798,0.065067,0.785957,0.431893
darkolivegreen,34,0.140293,0.888429,0.457104,0.647596
